Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn,Total Mins,Total Calls,Avg Calls per Day,HighServiceCaller
327-1058,112,0,166.0,79.0,28.22,74.6,100.0,6.34,247.9,74.0,11.16,6.3,7.0,1.7,0,False,494.8,260.0,2.3214285714285716,0
327-1319,22,23,182.1,94.0,30.96,164.6,59.0,13.99,128.8,102.0,5.8,12.7,4.0,3.43,3,False,488.2,259.0,11.772727272727273,0
327-3053,87,0,110.9,91.0,18.85,158.5,115.0,13.47,207.5,131.0,9.34,6.2,5.0,1.67,1,False,483.09999999999997,342.0,3.9310344827586206,0
327-3587,103,36,87.2,92.0,14.82,169.3,110.0,14.39,166.7,80.0,7.5,10.9,5.0,2.94,6,True,434.09999999999997,287.0,2.7864077669902914,1
327-3850,91,0,149.0,115.0,25.33,245.3,105.0,20.85,260.0,94.0,11.7,8.3,3.0,2.24,0,False,662.5999999999999,317.0,3.4835164835164836,0
327-3954,99,0,198.2,87.0,33.69,207.3,76.0,17.62,190.9,113.0,8.59,8.7,3.0,2.35,4,False,605.1,279.0,2.8181818181818183,1
327-4795,119,0,230.4,117.0,39.17,225.0,101.0,19.13,198.5,111.0,8.93,7.6,6.0,2.05,3,False,661.5,335.0,2.8151260504201683,0
327-5525,61,16,143.5,76.0,24.4,242.6,58.0,20.62,147.7,95.0,6.65,11.3,3.0,3.05,0,False,545.0999999999999,232.0,3.80327868852459,0
327-5817,98,29,179.9,97.0,30.58,189.2,89.0,16.08,164.3,76.0,7.39,12.8,7.0,3.46,3,False,546.2,269.0,2.7448979591836733,0
327-6087,107,0,146.9,94.0,24.97,114.3,111.0,9.72,114.5,97.0,5.15,11.4,5.0,3.08,3,False,387.09999999999997,307.0,2.869158878504673,0
327-6179,53,0,168.8,97.0,28.7,220.3,87.0,18.73,154.3,113.0,6.94,10.9,2.0,2.94,0,False,554.3000000000001,299.0,5.6415094339622645,0
327-6194,85,0,212.3,107.0,36.09,228.4,103.0,19.41,163.3,116.0,7.35,7.7,3.0,2.08,0,False,611.7,329.0,3.8705882352941177,0
327-6764,105,0,162.3,99.0,27.59,212.5,95.0,18.06,214.7,114.0,9.66,11.1,8.0,3.0,4,False,600.6,316.0,3.0095238095238095,1
327-6989,75,42,248.9,93.0,42.31,170.8,108.0,14.52,104.5,91.0,4.7,11.2,8.0,3.02,1,False,535.4000000000001,300.0,4.0,0
327-8495,41,0,232.1,74.0,39.46,327.1,88.0,27.8,226.5,119.0,10.19,10.9,2.0,2.94,3,True,796.6,283.0,6.902439024390244,0
327-8732,100,27,221.7,100.0,37.69,236.1,70.0,20.07,192.7,91.0,8.67,8.0,4.0,2.16,0,False,658.5,265.0,2.65,0
327-9289,52,31,142.1,77.0,24.16,193.0,97.0,16.41,253.4,88.0,11.4,11.0,4.0,2.97,1,False,599.5,266.0,5.115384615384615,0
327-9341,122,34,146.4,104.0,24.89,89.7,103.0,7.62,220.0,91.0,9.9,15.6,4.0,4.21,2,False,471.70000000000005,302.0,2.4754098360655736,0
327-9957,80,0,51.5,90.0,8.76,164.0,98.0,13.94,169.4,80.0,7.62,9.5,4.0,2.57,3,False,394.4,272.0,3.4,0
328-1206,155,23,243.9,112.0,41.46,133.0,106.0,11.31,213.7,123.0,9.62,13.4,11.0,3.62,2,False,603.9999999999999,352.0,2.270967741935484,0
328-1222,118,0,188.8,60.0,32.1,217.4,64.0,18.48,220.1,100.0,9.9,8.2,7.0,2.21,4,False,634.5000000000001,231.0,1.9576271186440677,1
328-1373,48,0,149.2,146.0,25.36,161.9,109.0,13.76,197.9,109.0,8.91,8.3,2.0,2.24,3,False,517.3,366.0,7.625,0
328-1522,73,0,175.4,130.0,29.82,248.1,105.0,21.09,122.4,85.0,5.51,12.2,4.0,3.29,0,False,558.1,324.0,4.438356164383562,0
328-1768,93,20,187.5,110.0,31.88,169.8,94.0,14.43,175.3,127.0,7.89,12.1,4.0,3.27,1,False,544.7,335.0,3.6021505376344085,0
328-2110,137,0,144.0,90.0,24.48,181.6,100.0,15.44,128.1,93.0,5.76,12.3,2.0,3.32,0,False,466.00000000000006,285.0,2.0802919708029197,0
328-2236,97,0,112.7,119.0,19.16,217.7,109.0,18.5,152.1,76.0,6.84,6.5,5.0,1.76,1,False,489.0,309.0,3.185567010309278,0
328-2478,116,0,229.3,93.0,38.98,184.5,111.0,15.68,168.2,91.0,7.57,8.8,3.0,2.38,2,False,590.8,298.0,2.5689655172413794,0
328-2647,81,0,203.5,89.0,34.6,289.6,69.0,24.62,212.9,71.0,9.58,8.7,3.0,2.35,3,False,714.7,232.0,2.8641975308641974,0
328-2982,95,0,69.4,79.0,11.8,190.8,109.0,16.22,219.9,102.0,9.9,8.9,5.0,2.4,0,False,489.0,295.0,3.1052631578947367,0
328-3266,97,0,239.8,125.0,40.77,214.8,111.0,18.26,143.3,81.0,6.45,8.7,5.0,2.35,2,False,606.6000000000001,322.0,3.3195876288659796,0
328-3402,125,0,191.6,115.0,32.57,205.6,108.0,17.48,210.2,123.0,9.46,9.2,3.0,2.48,2,False,616.6,349.0,2.792,0
328-4231,60,31,191.8,75.0,32.61,267.8,135.0,22.76,200.5,62.0,9.02,12.8,3.0,3.46,2,False,672.9,275.0,4.583333333333333,0
328-5050,58,0,243.1,105.0,41.33,231.4,108.0,19.67,180.9,120.0,8.14,7.8,4.0,2.11,2,False,663.1999999999999,337.0,5.810344827586207,0
328-5188,117,0,287.4,118.0,48.86,259.6,84.0,22.07,153.2,86.0,6.89,10.0,3.0,2.7,1,True,710.2,291.0,2.4871794871794872,0
328-6011,94,0,234.4,103.0,39.85,279.3,109.0,23.74,234.2,121.0,10.54,2.0,2.0,0.54,1,True,749.9000000000001,335.0,3.5638297872340425,0
328-6289,139,23,157.6,129.0,26.79,247.0,96.0,21.0,259.2,112.0,11.66,13.7,2.0,3.7,0,False,677.5,339.0,2.4388489208633093,0
328-6770,93,0,151.4,89.0,25.74,186.4,76.0,15.84,172.5,120.0,7.76,10.9,3.0,2.94,0,False,521.2,288.0,3.096774193548387,0
328-7209,149,20,198.9,77.0,33.81,274.0,88.0,23.29,190.7,76.0,8.58,14.3,9.0,3.86,1,False,677.8999999999999,250.0,1.6778523489932886,0
328-7252,77,0,185.9,95.0,31.6,212.0,98.0,18.02,282.3,81.0,12.7,11.3,4.0,3.05,3,False,691.5,278.0,3.6103896103896105,0
328-7833,98,0,227.1,116.0,38.61,120.5,103.0,10.24,117.0,102.0,5.27,4.7,4.0,1.27,5,True,469.3,325.0,3.316326530612245,1
328-8147,120,27,153.5,84.0,26.1,194.0,73.0,16.49,256.5,94.0,11.54,10.2,7.0,2.75,5,False,614.2,258.0,2.15,1
328-8179,90,27,156.7,51.0,26.64,236.5,118.0,20.1,123.2,111.0,5.54,12.6,6.0,3.4,2,False,529.0,286.0,3.1777777777777776,0
328-8230,28,0,180.8,109.0,30.74,288.8,58.0,24.55,191.9,91.0,8.64,14.1,6.0,3.81,2,False,675.6,264.0,9.428571428571429,0
328-8747,162,0,135.2,98.0,22.98,242.0,107.0,20.57,246.9,96.0,11.11,10.2,2.0,2.75,2,False,634.3000000000001,303.0,1.8703703703703705,0
328-8808,109,0,137.0,128.0,23.29,217.0,116.0,18.45,182.1,86.0,8.19,10.0,5.0,2.7,2,False,546.1,335.0,3.073394495412844,0
328-8980,37,0,239.9,120.0,40.78,261.6,88.0,22.24,207.1,88.0,9.32,8.9,4.0,2.4,2,True,717.5,300.0,8.108108108108109,0
328-9006,78,0,139.2,140.0,23.66,191.4,113.0,16.27,286.5,125.0,12.89,11.8,3.0,3.19,3,False,628.9,381.0,4.884615384615385,0
328-9267,97,32,90.0,87.0,15.3,276.3,113.0,23.49,185.2,107.0,8.33,8.6,6.0,2.32,2,True,560.1,313.0,3.2268041237113403,0
328-9315,109,35,230.5,116.0,39.19,265.8,130.0,22.59,269.7,69.0,12.14,10.6,6.0,2.86,5,False,776.6,321.0,2.944954128440367,1
328-9797,63,0,261.8,69.0,44.51,245.0,135.0,20.83,202.1,94.0,9.09,14.7,4.0,3.97,0,True,723.6,302.0,4.7936507936507935,0
328-9869,194,0,162.3,88.0,27.59,213.7,118.0,18.16,192.1,81.0,8.64,10.9,2.0,2.94,0,False,579.0,289.0,1.4896907216494846,0
329-1410,87,30,262.8,114.0,44.68,215.8,130.0,18.34,154.8,88.0,6.97,7.8,2.0,2.11,0,False,641.2,334.0,3.839080459770115,0
329-1955,108,0,293.0,88.0,49.81,160.6,101.0,13.65,143.9,87.0,6.48,10.0,6.0,2.7,2,False,607.5,282.0,2.611111111111111,0
329-2045,96,0,144.0,102.0,24.48,224.7,73.0,19.1,227.7,91.0,10.25,10.0,7.0,2.7,1,False,606.4,273.0,2.84375,0
329-2204,99,33,179.1,93.0,30.45,238.3,102.0,20.26,165.7,96.0,7.46,10.6,1.0,2.86,2,False,593.6999999999999,292.0,2.9494949494949494,0
329-2388,122,0,144.2,87.0,24.51,212.2,74.0,18.04,169.3,87.0,7.62,9.5,4.0,2.57,0,False,535.2,252.0,2.0655737704918034,0
329-2786,161,0,194.2,106.0,33.01,249.4,105.0,21.2,254.9,129.0,11.47,12.9,1.0,3.48,1,True,711.4,341.0,2.1180124223602483,0
329-2789,86,0,226.3,88.0,38.47,223.0,107.0,18.96,255.6,92.0,11.5,13.0,3.0,3.51,4,False,717.9,290.0,3.372093023255814,1
329-2918,80,0,149.8,123.0,25.47,276.3,75.0,23.49,241.4,75.0,10.86,10.9,7.0,2.94,2,False,678.4,280.0,3.5,0
329-3222,119,29,117.8,66.0,20.03,256.8,114.0,21.83,147.6,76.0,6.64,7.6,3.0,2.05,3,False,529.8000000000001,259.0,2.176470588235294,0
